INDEX;PART_NAME;PACKAGE_NAME;PIN_INDEX;PAD_NAME;CENTER_X;CENTER_Y;LONG_SIDE_LENGTH;SHORT_SIDE_LENGTH;ANGLE_DEGREE;NET
0;BETA;µZ-SOCKET-NOHOLES-R;0;1;19.6;24.425;0.5;2.0;0;BETA_TCK
1;BETA;µZ-SOCKET-NOHOLES-R;1;2;19.6;20.027;0.5;2.0;0;BETA_TMS
2;BETA;µZ-SOCKET-NOHOLES-R;2;3;18.8;24.425;0.5;2.0;0;BETA_TDO
3;BETA;µZ-SOCKET-NOHOLES-R;3;4;18.8;20.027;0.5;2.0;0;BETA_TDI
4;BETA;µZ-SOCKET-NOHOLES-R;4;5;18.0;24.425;0.5;2.0;0;
5;BETA;µZ-SOCKET-NOHOLES-R;5;6;18.0;20.027;0.5;2.0;0;
6;BETA;µZ-SOCKET-NOHOLES-R;6;7;17.2;24.425;0.5;2.0;0;CSO_NE_V
7;BETA;µZ-SOCKET-NOHOLES-R;7;8;17.2;20.027;0.5;2.0;0;
8;BETA;µZ-SOCKET-NOHOLES-R;8;9;16.4;24.425;0.5;2.0;0;SE_0
9;BETA;µZ-SOCKET-NOHOLES-R;9;10;16.4;20.027;0.5;2.0;0;SE_1
10;BETA;µZ-SOCKET-NOHOLES-R;10;11;15.6;24.425;0.5;2.0;0;JX1_00_P
11;BETA;µZ-SOCKET-NOHOLES-R;11;12;15.6;20.027;0.5;2.0;0;JX1_01_P
12;BETA;µZ-SOCKET-NOHOLES-R;12;13;14.8;24.425;0.5;2.0;0;JX1_00_N
13;BETA;µZ-SOCKET-NOHOLES-R;13;14;14.8;20.027;0.5;2.0;0;JX1_01_N
14;BETA;µZ-SOCKET-NOHOLES-R;14;15;14.0;24.425;0.5;2.0;0;GND
15;BETA;µZ-SOCKET-NOHOLES-R;15;16;14.0;20.027;0.5;2.0;0;GND
16;BETA;µZ-SOCKET-NOHOLES-R;16;17;13.2;24.425;0.5;2.0;0;JX1_02_P
17;BETA;µZ-SOCKET-NOHOLES-R;17;18;13.2;20.027;0.5;2.0;0;JX1_03_P
18;BETA;µZ-SOCKET-NOHOLES-R;18;19;12.4;24.425;0.5;2.0;0;JX1_02_N
19;BETA;µZ-SOCKET-NOHOLES-R;19;20;12.4;20.027;0.5;2.0;0;JX1_03_N
20;BETA;µZ-SOCKET-NOHOLES-R;20;21;11.6;24.425;0.5;2.0;0;GND
21;BETA;µZ-SOCKET-NOHOLES-R;21;22;11.6;20.027;0.5;2.0;0;GND
22;BETA;µZ-SOCKET-NOHOLES-R;22;23;10.8;24.425;0.5;2.0;0;JX1_04_P
23;BETA;µZ-SOCKET-NOHOLES-R;23;24;10.8;20.027;0.5;2.0;0;JX1_05_P
24;BETA;µZ-SOCKET-NOHOLES-R;24;25;10.0;24.425;0.5;2.0;0;JX1_04_N
25;BETA;µZ-SOCKET-NOHOLES-R;25;26;10.0;20.027;0.5;2.0;0;JX1_05_N
26;BETA;µZ-SOCKET-NOHOLES-R;26;27;9.2;24.425;0.5;2.0;0;GND
27;BETA;µZ-SOCKET-NOHOLES-R;27;28;9.2;20.027;0.5;2.0;0;GND
